precio,cantidad,descuento,total_venta,categoria,metodo_pago,cliente,producto,comentarios,descripcion_producto,fecha
2946.46,9,0.06,6039.36,Belleza,Tarjeta,"{'nombre': 'Travis Lopez', 'edad': 35, 'ciudad': 'Puebla'}","{'nombre': 'central', 'marca': 'Price, Andrade and Downs', 'stock': 80}",Speech rest party. To thing worry. However inside teach their agree employee yeah.,Practice never range many. Share market last meet. Choice glass accept.,2025-11-07
1995.96,4,0.27,524.31,Belleza,PayPal,"{'nombre': 'Daniel Hernandez', 'edad': 55, 'ciudad': 'Guadalajara'}","{'nombre': 'open', 'marca': 'Wagner, Roberts and Crawford', 'stock': 100}",Arrive should language rich. News issue item team clearly table activity.,"Sure allow individual theory garden capital. Pressure building more onto.
Almost tend test admit. Color say simple seven customer per kitchen.",2025-08-16
1212.15,8,0.04,3494.26,Hogar,Transferencia,"{'nombre': 'Scott Young', 'edad': 33, 'ciudad': 'CDMX'}","{'nombre': 'national', 'marca': 'Brandt LLC', 'stock': 85}",Prevent wish sing especially. Answer small training energy evening heavy. Read we water property.,Other seem hold east audience decade of. Traditional sort citizen property light. Call enjoy computer way group special quickly near.,2026-03-13
4353.06,6,0.07,8992.62,Deportes,Tarjeta,"{'nombre': 'Scott Lopez', 'edad': 28, 'ciudad': 'Guadalajara'}","{'nombre': 'best', 'marca': 'Brooks, Taylor and Cruz', 'stock': 94}",Prove office matter car number. Account popular arm air operation. Bill sit plant.,Keep operation best. Most decide under land behavior safe.,2026-01-05
2560.94,2,0.11,2054.79,Ropa,Transferencia,"{'nombre': 'Erica Baker', 'edad': 56, 'ciudad': 'Guadalajara'}","{'nombre': 'top', 'marca': 'Mccall-Martinez', 'stock': 38}",Little a truth former decade finally. Several beautiful check decision east religious.,Society walk improve before. Exactly pull these fire.,2026-01-27
3705.07,9,0.07,2472.51,Electrónica,Tarjeta,"{'nombre': 'Nancy Carr', 'edad': 45, 'ciudad': 'Monterrey'}","{'nombre': 'course', 'marca': 'Smith LLC', 'stock': 34}",State card energy type. Maybe medical focus new.,Maintain energy why American. Result hand quality language relate past price.,2025-08-01
2483.72,9,0.25,1064.82,Ropa,Efectivo,"{'nombre': 'Deanna Williams', 'edad': 45, 'ciudad': 'Guadalajara'}","{'nombre': 'citizen', 'marca': 'Browning-Jenkins', 'stock': 21}",Pm worker sometimes bit responsibility drive. Together media while network move many.,Spring weight process avoid former. Environment over cover person none bit may particularly. Painting within direction which prepare.,2025-07-05
4922.89,8,0.07,5568.97,Deportes,Transferencia,"{'nombre': 'Rachel Buchanan', 'edad': 53, 'ciudad': 'CDMX'}","{'nombre': 'rest', 'marca': 'Obrien Group', 'stock': 98}",When issue himself story. Professor next individual big. Image among wait way even life.,Education rather myself yes. Oil ground fine weight hundred between cup. Pressure health shoulder small.,2026-02-24
993.33,1,0.14,2021.52,Hogar,Tarjeta,"{'nombre': 'Jose Weiss', 'edad': 52, 'ciudad': 'CDMX'}","{'nombre': 'yeah', 'marca': 'Barber-Taylor', 'stock': 78}",How now describe can.,Your audience scene article. Prevent program your other writer establish. Win tell prevent final stage step short. Guess enter mouth produce.,2025-12-03
612.0,9,0.2,149.02,Electrónica,Tarjeta,"{'nombre': 'Jessica Hamilton', 'edad': 52, 'ciudad': 'Monterrey'}","{'nombre': 'voice', 'marca': 'Li-Chavez', 'stock': 76}",Serious loss yourself at dog. Final spend turn sing thousand and better.,Pass million almost prevent. Visit increase election just surface phone. Toward foot own material now laugh parent.,2025-06-20
2696.14,2,0.24,1984.12,Belleza,Efectivo,"{'nombre': 'Jonathan Morrison', 'edad': 27, 'ciudad': 'CDMX'}","{'nombre': 'yeah', 'marca': 'Griffin, Taylor and Serrano', 'stock': 77}",Name agreement get society early bit city different. Decade certain enter.,"Few bit appear today become.
Ok teach everyone less blood. Up people development pressure travel.",2025-10-09
4811.42,4,0.28,9579.56,Deportes,Transferencia,"{'nombre': 'Miranda Gomez', 'edad': 33, 'ciudad': 'Monterrey'}","{'nombre': 'room', 'marca': 'Torres-Johnson', 'stock': 81}",Enter item without quickly purpose while. Operation window onto structure talk before.,Theory maybe style score may range. Such job happy marriage girl face. Foot thank guess amount force American front.,2025-05-30
1861.99,1,0.27,3953.94,Electrónica,Tarjeta,"{'nombre': 'Heather Johnson', 'edad': 19, 'ciudad': 'Puebla'}","{'nombre': 'left', 'marca': 'Newton-Johnson', 'stock': 55}",List thought present lose whom unit include main. Whether east beautiful the because how door skin.,Available current simply work each. Anyone over trip treat avoid staff less. Window huge increase stuff significant role.,2025-06-08
1223.43,6,0.05,9058.72,Ropa,PayPal,"{'nombre': 'Richard Juarez', 'edad': 30, 'ciudad': 'Puebla'}","{'nombre': 'white', 'marca': 'Parrish-Fuentes', 'stock': 12}",Maybe election be never character. Way he guy idea chance capital election summer.,To name improve federal able. Pull though hard else society life remain.,2026-01-09
4636.18,3,0.08,5449.35,Belleza,Efectivo,"{'nombre': 'Michael Bentley', 'edad': 60, 'ciudad': 'Querétaro'}","{'nombre': 'better', 'marca': 'Evans, Khan and Medina', 'stock': 70}",Phone give them no country result. Dog born particularly culture table visit.,My later report report upon open party. His piece matter leg live. Learn mouth think interesting wife reflect unit.,2025-07-23
2460.71,6,0.1,1200.35,Hogar,Transferencia,"{'nombre': 'Thomas Kirk', 'edad': 58, 'ciudad': 'Monterrey'}","{'nombre': 'available', 'marca': 'Baker, Rodriguez and Alexander', 'stock': 3}",Yes member measure new. Southern whole assume whose drop young side.,Born threat show property. Floor particular boy without skin.,2025-10-18
2060.1,7,0.26,3081.41,Hogar,Efectivo,"{'nombre': 'Joseph Bradley', 'edad': 48, 'ciudad': 'Monterrey'}","{'nombre': 'shake', 'marca': 'Sharp PLC', 'stock': 64}",Young science boy cup. Argue deal husband shake value.,"Serve citizen employee. Family call now newspaper.
Start religious according only federal different step.",2026-01-23
363.51,9,0.21,6461.0,Ropa,Efectivo,"{'nombre': 'Mary King', 'edad': 52, 'ciudad': 'Puebla'}","{'nombre': 'though', 'marca': 'Mitchell, Woods and Jones', 'stock': 84}",Certain year name real term success Congress. Usually especially huge common.,For nearly sound should. Imagine career consumer job. Should position skill indicate society rich.,2025-08-27
4388.39,5,0.05,1594.62,Ropa,Tarjeta,"{'nombre': 'Holly Mccann', 'edad': 41, 'ciudad': 'Guadalajara'}","{'nombre': 'network', 'marca': 'Mcintyre, Jackson and Hampton', 'stock': 77}",Science interest authority everyone together. Song fast huge.,President country story necessary for those program. Everything majority more Democrat west very.,2025-05-26
315.86,6,0.28,4952.34,Ropa,Transferencia,"{'nombre': 'Nancy Johnson', 'edad': 39, 'ciudad': 'CDMX'}","{'nombre': 'authority', 'marca': 'Anderson, Francis and Young', 'stock': 40}",People thank avoid important expert experience. Couple modern free control sort.,End part wish church item girl of bank. Throughout nation individual politics us animal organization join.,2026-03-15
4821.91,8,0.18,3278.67,Ropa,Tarjeta,"{'nombre': 'Elizabeth Ortega', 'edad': 27, 'ciudad': 'CDMX'}","{'nombre': 'dark', 'marca': 'Ochoa, Delacruz and Greene', 'stock': 31}",Seek effort poor several animal camera share. Focus magazine remain.,Help force ask crime. Democratic remember between husband mean sure operation boy. History that especially him discussion.,2025-05-01
881.7,1,0.27,7392.46,Belleza,Transferencia,"{'nombre': 'Daniel Stephens', 'edad': 34, 'ciudad': 'Guadalajara'}","{'nombre': 'speech', 'marca': 'Waters-Shaffer', 'stock': 28}",Window city else board. Especially control war trial first. Contain themselves close fact.,Form consumer that night environmental process exist race. Order environmental seat check support.,2026-03-12
4753.95,1,0.24,4963.5,Ropa,PayPal,"{'nombre': 'Trevor Johnson', 'edad': 22, 'ciudad': 'Querétaro'}","{'nombre': 'environment', 'marca': 'Castillo, Melton and Harrison', 'stock': 75}",She high attorney model. Travel before quality two final fill test. Cell care then news language.,Your establish together. Live should north blue party. Identify cause dog entire home paper data still.,2026-01-08
572.08,4,0.07,743.32,Deportes,PayPal,"{'nombre': 'Jeffrey Schroeder', 'edad': 26, 'ciudad': 'Querétaro'}","{'nombre': 'management', 'marca': 'Ross LLC', 'stock': 14}",Join policy so these technology.,Minute fill game the. Collection lose evening establish.,2025-07-13
1939.57,5,0.21,4532.41,Electrónica,Transferencia,"{'nombre': 'Julie Kramer', 'edad': 24, 'ciudad': 'Monterrey'}","{'nombre': 'somebody', 'marca': 'Morgan-Ponce', 'stock': 55}",Media choose prove probably store magazine successful.,Hand plan than. Central dinner happy record investment enter discussion. Evidence yourself fish middle low different western.,2025-04-12
2498.08,2,0.03,6490.88,Hogar,PayPal,"{'nombre': 'Miranda Duran', 'edad': 40, 'ciudad': 'Guadalajara'}","{'nombre': 'today', 'marca': 'Patel-Barrett', 'stock': 6}",Not fine player away skin wait citizen. Last think which they a. Eye take far any tax.,He crime position focus try week. Style include I enough. City thank meet seek although reason image.,2025-07-24
70.83,5,0.01,8794.76,Hogar,Efectivo,"{'nombre': 'Carrie Suarez', 'edad': 33, 'ciudad': 'Monterrey'}","{'nombre': 'real', 'marca': 'Hernandez Ltd', 'stock': 79}",From grow maybe summer think.,Blue seat candidate American. Report simple offer back weight speak. Maintain in project work toward final grow again.,2026-04-01
1493.1,8,0.19,371.51,Deportes,Transferencia,"{'nombre': 'Dana Wolfe', 'edad': 46, 'ciudad': 'CDMX'}","{'nombre': 'star', 'marca': 'Jennings-Maxwell', 'stock': 79}",Including reach end deep off product buy. Kitchen make role look far agree.,Ball thank while with available organization star. Line natural firm speech manager water campaign. Learn great quite live yes shoulder box look.,2025-09-28
4057.49,3,0.15,723.22,Electrónica,PayPal,"{'nombre': 'Jennifer Ramos', 'edad': 39, 'ciudad': 'Monterrey'}","{'nombre': 'important', 'marca': 'Holmes-Rubio', 'stock': 26}",Season tree city street along final name. Part offer my training hand test.,Cup exactly career table personal strong. Consumer pressure red follow social degree.,2025-05-18
4324.65,4,0.03,3083.27,Hogar,Transferencia,"{'nombre': 'Cody Johnson', 'edad': 25, 'ciudad': 'Monterrey'}","{'nombre': 'manage', 'marca': 'Jordan, Conner and Martinez', 'stock': 2}",Staff certain garden writer fly last word. Political news method building beautiful.,Leg around nothing charge culture still. Then walk discuss condition dinner energy weight while. During remember your about. Learn use face he.,2025-06-03
3439.8,9,0.17,1810.92,Ropa,Efectivo,"{'nombre': 'Walter Clark', 'edad': 42, 'ciudad': 'CDMX'}","{'nombre': 'mouth', 'marca': 'Reid-Cooper', 'stock': 9}",Born fine reason. Building include policy indeed. Maintain score our shake expect level.,Scientist ability reach economic other design represent. Very be return then result tree.,2025-05-11
4848.42,2,0.08,3880.9,Hogar,Tarjeta,"{'nombre': 'Shelley Prince', 'edad': 43, 'ciudad': 'Puebla'}","{'nombre': 'board', 'marca': 'Ryan, Bryant and Smith', 'stock': 40}",Ok receive whatever next. Current serious also girl. Player one understand black one modern.,See today true camera carry project. Ever at total affect experience.,2025-06-17
274.15,2,0.24,8834.27,Electrónica,Tarjeta,"{'nombre': 'Joshua Johnson', 'edad': 34, 'ciudad': 'Puebla'}","{'nombre': 'source', 'marca': 'Foster PLC', 'stock': 0}",Boy training job though decade. Although baby option it also today kitchen.,Wide indeed turn white economic available. Place kitchen this.,2025-09-12
1419.94,6,0.01,5814.66,Ropa,Efectivo,"{'nombre': 'Megan Davidson', 'edad': 46, 'ciudad': 'Puebla'}","{'nombre': 'fly', 'marca': 'Stanley-Bowen', 'stock': 96}",Approach dream no me. Owner politics toward vote.,Article four hundred so lose meet. Father better thus share effort loss.,2025-09-09
2446.87,1,0.11,5668.39,Belleza,PayPal,"{'nombre': 'Shelly Davis', 'edad': 34, 'ciudad': 'Guadalajara'}","{'nombre': 'save', 'marca': 'Martinez, Becker and Adams', 'stock': 30}",Already economic common occur both nature machine. Day green smile traditional free.,Write phone ball hard fact. Out book until threat should drug.,2025-05-01
3670.73,6,0.29,5915.99,Belleza,Transferencia,"{'nombre': 'Shannon Rodriguez', 'edad': 29, 'ciudad': 'Guadalajara'}","{'nombre': 'community', 'marca': 'Miller-Jones', 'stock': 44}",Fear someone hard type decade result adult. Service today move gun tax current subject our.,"Late when exactly carry social. Security there require wait explain true all.
Table artist avoid. Key action guess arm no inside star.",2025-06-30
874.38,2,0.12,6138.14,Electrónica,Efectivo,"{'nombre': 'Jonathan Obrien', 'edad': 21, 'ciudad': 'Querétaro'}","{'nombre': 'window', 'marca': 'Henry, Trujillo and Ramos', 'stock': 77}",Democrat loss so buy line choose effect. Again military allow decade.,Husband two into coach bill.,2025-09-24
4092.72,5,0.02,3183.69,Ropa,Transferencia,"{'nombre': 'Christopher Gibson', 'edad': 55, 'ciudad': 'Querétaro'}","{'nombre': 'myself', 'marca': 'Noble and Sons', 'stock': 3}",Third exist build big bill glass suddenly nature. Example certain help challenge.,Thought not per community someone interesting. Simple trial remember tough. Ago involve fight street case themselves lose.,2025-04-21
2395.95,5,0.26,7395.92,Hogar,Efectivo,"{'nombre': 'Julie Tucker', 'edad': 25, 'ciudad': 'CDMX'}","{'nombre': 'form', 'marca': 'Thomas LLC', 'stock': 66}",A win front carry foot option lay. Involve cut order born specific station since.,Although suddenly body theory here.,2025-11-12
3342.6,2,0.11,3511.09,Electrónica,Efectivo,"{'nombre': 'Martha Carlson', 'edad': 21, 'ciudad': 'Guadalajara'}","{'nombre': 'finish', 'marca': 'Barnes-Stevenson', 'stock': 90}",Stock choice value writer impact. Research tough our leader between.,Notice machine structure. Company newspaper organization become local become.,2025-12-28
3354.0,8,0.1,1068.97,Deportes,Tarjeta,"{'nombre': 'Brent Reyes', 'edad': 36, 'ciudad': 'Monterrey'}","{'nombre': 'agree', 'marca': 'Harris LLC', 'stock': 84}",Small police book meeting. Population space whom close front through program.,Party international side together for common. House although tax early local material stage.,2025-12-14
3259.04,5,0.11,205.18,Ropa,PayPal,"{'nombre': 'Amy Holland', 'edad': 53, 'ciudad': 'Puebla'}","{'nombre': 'contain', 'marca': 'Powell Ltd', 'stock': 9}",Stuff billion someone note. Exist like medical animal go.,Standard instead century but manage. Oil job onto study notice garden become. Serious particularly plant food run great.,2025-08-06
335.28,6,0.28,2886.47,Belleza,PayPal,"{'nombre': 'Jasmine Campos', 'edad': 49, 'ciudad': 'CDMX'}","{'nombre': 'their', 'marca': 'Smith-Murphy', 'stock': 31}",Shoulder pay usually product rich agreement. Hand good him us anyone.,Learn help run author find open employee store. Participant student show baby war. Wear cold little doctor voice thousand.,2025-06-10
1742.01,1,0.04,3222.9,Electrónica,Tarjeta,"{'nombre': 'Douglas Nunez', 'edad': 52, 'ciudad': 'Monterrey'}","{'nombre': 'yes', 'marca': 'Anderson-Morgan', 'stock': 91}","Manager live chair shake. Collection air analysis nothing.
Series west hour water soon.",Bar TV hold technology. Talk poor admit.,2025-05-05
155.31,5,0.28,6136.51,Ropa,Transferencia,"{'nombre': 'Vanessa Colon', 'edad': 25, 'ciudad': 'Guadalajara'}","{'nombre': 'company', 'marca': 'Nguyen, Jenkins and Robinson', 'stock': 28}",Recent military reason explain. Rise edge report start become college.,"Add civil not understand friend test. National table section.
Edge last box system federal outside. Decade off sort remember evidence which plan.",2025-04-19
1308.19,3,0.07,5838.83,Electrónica,Tarjeta,"{'nombre': 'Bradley Martin', 'edad': 29, 'ciudad': 'Querétaro'}","{'nombre': 'traditional', 'marca': 'Mccarthy-Perkins', 'stock': 30}",Low cup site truth. Recognize risk tree analysis reveal me order.,Stage learn top magazine. Brother finally knowledge least. Answer moment again available performance build those.,2025-05-30
4348.43,6,0.26,3974.59,Ropa,Transferencia,"{'nombre': 'Michael Cooke', 'edad': 39, 'ciudad': 'Guadalajara'}","{'nombre': 'read', 'marca': 'Downs Inc', 'stock': 67}",Approach customer democratic couple type use.,Smile tax event carry pull order first. Participant within page remember full move nice.,2025-12-13
3437.73,5,0.12,3436.39,Ropa,PayPal,"{'nombre': 'Samuel Pearson', 'edad': 21, 'ciudad': 'Monterrey'}","{'nombre': 'soldier', 'marca': 'Hill PLC', 'stock': 64}",Among her woman Mrs. Nearly material bad contain.,The American wind some rock the carry our. Agree year onto law outside. Television rather yes almost police step certain.,2026-02-13
412.6,9,0.12,7177.27,Electrónica,Transferencia,"{'nombre': 'Paige Stephens', 'edad': 21, 'ciudad': 'Querétaro'}","{'nombre': 'pretty', 'marca': 'Williams, Peterson and Baker', 'stock': 58}",Clearly truth understand deep nor. Human require partner project to.,Mother everything force second. Thing hundred pressure assume important example seem.,2025-10-05
1088.33,2,0.2,3872.56,Ropa,PayPal,"{'nombre': 'Brandi Rowe', 'edad': 21, 'ciudad': 'Puebla'}","{'nombre': 'bit', 'marca': 'Moyer PLC', 'stock': 22}",Treatment civil account. Model side poor.,"Wonder speak long class decision need adult. Provide reason room hit. Old summer understand moment country election cover.
Close civil unit door.",2026-03-06
2166.9,2,0.08,780.38,Hogar,Tarjeta,"{'nombre': 'Ariana Smith', 'edad': 41, 'ciudad': 'Puebla'}","{'nombre': 'fear', 'marca': 'Nash, Chen and Rivera', 'stock': 98}",Lead though coach some. Ever police evening general three interest take. Mention image person past.,Tonight news really provide specific color.,2025-07-01
1114.63,4,0.16,1102.9,Belleza,Transferencia,"{'nombre': 'Ashley Wright', 'edad': 50, 'ciudad': 'CDMX'}","{'nombre': 'require', 'marca': 'Flores LLC', 'stock': 64}",Sure choice hospital health win strong. Small region end whole real religious.,"Open summer book them garden. Resource catch make turn throw.
Edge about rather financial yes. Data here Congress leg clearly.",2025-08-24
1205.96,9,0.11,1687.65,Electrónica,Efectivo,"{'nombre': 'Andrea Meyers', 'edad': 37, 'ciudad': 'Puebla'}","{'nombre': 'relationship', 'marca': 'Thomas-Flores', 'stock': 33}",From pressure himself strong. Agent perform peace Democrat defense.,School her cut no. Morning something onto long. Single believe likely town.,2026-02-03
906.86,1,0.2,5566.93,Deportes,Transferencia,"{'nombre': 'Molly Hawkins', 'edad': 32, 'ciudad': 'CDMX'}","{'nombre': 'artist', 'marca': 'Barr, Walker and Adams', 'stock': 64}",Father lot author marriage present bed. Work perform catch policy.,Matter hard trouble close second drive instead. Gas he vote prepare.,2025-12-06
2430.47,3,0.18,9707.44,Ropa,PayPal,"{'nombre': 'Jessica Reyes', 'edad': 30, 'ciudad': 'CDMX'}","{'nombre': 'several', 'marca': 'Roth-Choi', 'stock': 97}",Often quality ask ten. Property part interest still want during use.,Before system sing population grow. Fact box on likely society especially election. Argue feel write sense building green issue head.,2025-07-20
3218.39,9,0.26,4057.56,Belleza,Efectivo,"{'nombre': 'Daniel Waller', 'edad': 48, 'ciudad': 'CDMX'}","{'nombre': 'campaign', 'marca': 'Allen, Russell and Cummings', 'stock': 2}",Message response issue work television question. Son television purpose same participant.,Rule detail consider cell where short mind. Model enter such attorney capital cause.,2025-12-24
1351.77,5,0.11,6547.07,Ropa,Efectivo,"{'nombre': 'Bryan Calderon', 'edad': 50, 'ciudad': 'Querétaro'}","{'nombre': 'trade', 'marca': 'Davis, Montgomery and Callahan', 'stock': 86}",Might after show past act. Run indicate later everyone.,Economic help only pass. Wide together city deal join wall probably quite.,2025-05-29
3095.19,9,0.02,4914.85,Electrónica,Efectivo,"{'nombre': 'Audrey Walsh', 'edad': 50, 'ciudad': 'Guadalajara'}","{'nombre': 'how', 'marca': 'Garcia LLC', 'stock': 35}",Put case plan three arm night clear. True born front cover consider shoulder level.,"Result together exactly join. Energy quite draw eye.
Decision fast base west anything argue increase. Then laugh indicate go. Wish it act.",2025-10-01
221.86,6,0.19,4436.85,Hogar,Efectivo,"{'nombre': 'Melanie Smith', 'edad': 50, 'ciudad': 'Guadalajara'}","{'nombre': 'kitchen', 'marca': 'Stephens, Butler and Patton', 'stock': 19}",Economic answer after her. Center left she.,Main still ever throw. Else skin radio American area offer property six. Buy bag rather stay exist especially.,2025-06-06
592.5,2,0.01,5824.55,Belleza,PayPal,"{'nombre': 'Megan Berger', 'edad': 50, 'ciudad': 'Monterrey'}","{'nombre': 'from', 'marca': 'Watson-Park', 'stock': 18}",Page safe many energy. Above marriage southern management.,Accept finish account from. Fire his newspaper father together free. Again budget debate population.,2026-02-14
4113.14,3,0.21,5528.83,Electrónica,Tarjeta,"{'nombre': 'Kenneth Price', 'edad': 33, 'ciudad': 'Querétaro'}","{'nombre': 'special', 'marca': 'Fleming, Brown and Norton', 'stock': 73}",Mind company student society garden. Religious professional send event.,Professor break future word rock. Interesting section measure beat own. Science statement south bill away class effort.,2025-05-26
3679.88,3,0.24,4840.33,Deportes,Efectivo,"{'nombre': 'Melissa Petersen', 'edad': 49, 'ciudad': 'Puebla'}","{'nombre': 'present', 'marca': 'Ingram Group', 'stock': 78}",Suffer animal thing edge. Claim voice provide type religious. Unit yard pressure network create.,"Break travel activity visit phone. Reduce work cover school fight.
Real each painting need chair simply describe.",2026-02-09
1603.02,7,0.22,4271.38,Ropa,PayPal,"{'nombre': 'David Harris', 'edad': 55, 'ciudad': 'Guadalajara'}","{'nombre': 'wait', 'marca': 'Richard, Howard and Payne', 'stock': 20}",By meet song in recent wall. Once technology training war. Could appear any talk movie.,Physical onto cover amount. Above even middle south must responsibility. Story memory church thank.,2025-08-24
4114.47,1,0.09,5945.49,Electrónica,Tarjeta,"{'nombre': 'Kelly Singleton', 'edad': 48, 'ciudad': 'Querétaro'}","{'nombre': 'bring', 'marca': 'Adkins-Lopez', 'stock': 29}",Sing up hair himself food rule. They east several easy half since.,Official cover true nature. Keep born argue federal quality.,2026-01-21
2151.44,2,0.06,441.81,Ropa,Efectivo,"{'nombre': 'Karen Ward', 'edad': 32, 'ciudad': 'Querétaro'}","{'nombre': 'despite', 'marca': 'Richardson-Baker', 'stock': 36}",Family organization what let power present.,Establish husband trade letter contain. Off someone garden final live dream hope.,2025-08-05
2456.13,9,0.05,2775.63,Hogar,Tarjeta,"{'nombre': 'Regina Ewing', 'edad': 58, 'ciudad': 'Puebla'}","{'nombre': 'too', 'marca': 'Davidson Ltd', 'stock': 13}",Realize newspaper open quickly. Anyone worker shake young. Home since in son.,"Wear scientist lay book purpose measure age.
Owner toward light gas eye art party majority. Child would work finish.",2026-02-08
3059.35,7,0.11,7347.64,Deportes,Tarjeta,"{'nombre': 'Emily Dyer', 'edad': 34, 'ciudad': 'Querétaro'}","{'nombre': 'green', 'marca': 'Adams-Rodriguez', 'stock': 36}",Measure thing director. Long way deep international enter skill.,"What improve above nearly pretty population job. Cover until treatment single physical should. Other world pick.
Network good half a around.",2025-04-29
2855.82,7,0.02,1798.76,Hogar,Efectivo,"{'nombre': 'Patrick Guerra', 'edad': 39, 'ciudad': 'CDMX'}","{'nombre': 'thus', 'marca': 'Baker, Davis and Smith', 'stock': 20}",Head allow against animal customer. Tree ten home four.,Push around international similar. Through field after health them. Boy fund relationship lawyer.,2025-07-31
4959.46,9,0.27,3777.85,Electrónica,Efectivo,"{'nombre': 'Michelle Gonzales', 'edad': 28, 'ciudad': 'CDMX'}","{'nombre': 'this', 'marca': 'Hays-Lawson', 'stock': 11}",Need amount other never.,"Stop player close wait interest better.
Blue school away finally factor choose. Before project because citizen.",2026-02-17
1640.45,5,0.16,3243.45,Belleza,Efectivo,"{'nombre': 'Jason Lee', 'edad': 41, 'ciudad': 'Querétaro'}","{'nombre': 'think', 'marca': 'Yang, Davis and Pope', 'stock': 14}","Middle outside her year day day.
Beat the bit force write large create. Thought cell time group.","Yes fill skin wait much easy old. Determine writer contain thousand produce mouth radio.
Traditional hot school very glass.",2025-05-06
2576.59,7,0.06,7850.36,Hogar,PayPal,"{'nombre': 'Amanda Lindsey', 'edad': 48, 'ciudad': 'Guadalajara'}","{'nombre': 'instead', 'marca': 'Choi-Melendez', 'stock': 62}",Task quickly institution degree ever hot. Miss strong there black foot position.,"Onto sing nearly white. Business control exist.
Daughter office truth structure southern. Final suggest myself rise.",2025-06-29
1795.41,1,0.18,4026.12,Electrónica,Transferencia,"{'nombre': 'Rhonda Horne', 'edad': 42, 'ciudad': 'Puebla'}","{'nombre': 'message', 'marca': 'Miller LLC', 'stock': 70}",Service TV miss beautiful drug likely institution become. List key modern understand health nor.,"Despite speech town.
Bag life seven south stage believe relate plant.",2025-10-27
3663.87,2,0.17,1292.43,Deportes,Tarjeta,"{'nombre': 'Brett Parker', 'edad': 18, 'ciudad': 'Monterrey'}","{'nombre': 'indeed', 'marca': 'Mora-Hartman', 'stock': 13}",Let past old source.,Evidence civil involve yard result. Together family the thing reality follow team city. Information catch work line free contain main.,2025-06-06
2345.72,3,0.07,4369.64,Ropa,Transferencia,"{'nombre': 'Jessica James', 'edad': 36, 'ciudad': 'Monterrey'}","{'nombre': 'support', 'marca': 'Morris-Wells', 'stock': 89}",Stuff star couple unit machine trade million.,Matter try everyone difference these. Tell hospital board begin. Research religious value area left indicate right.,2026-01-05
4489.35,5,0.1,1625.76,Hogar,Tarjeta,"{'nombre': 'Nicholas Smith', 'edad': 38, 'ciudad': 'Querétaro'}","{'nombre': 'letter', 'marca': 'Taylor, Salas and Brown', 'stock': 69}",Bed maintain main meet. Certainly about bit attorney do situation.,Along then represent part yourself. Room of kitchen position city owner. Threat half evening former reach.,2025-06-16
857.96,9,0.11,8459.02,Electrónica,PayPal,"{'nombre': 'Stephen Hamilton', 'edad': 25, 'ciudad': 'Puebla'}","{'nombre': 'direction', 'marca': 'Silva-Russell', 'stock': 55}",Music task my meeting. Upon some plan identify. Black garden model anyone someone site doctor page.,"Television relate mind whole learn support form.
Less send work ask theory. Look occur choose sure there. Line nature create change.",2026-03-08
1234.2,4,0.13,8523.13,Belleza,Efectivo,"{'nombre': 'Alexandra Jackson', 'edad': 24, 'ciudad': 'Querétaro'}","{'nombre': 'pick', 'marca': 'Simmons, Brown and Lawrence', 'stock': 22}",History whom them possible trouble. Town but worker value hear outside whose.,Every military hotel and under strong open. Garden standard fight oil week kitchen require. Very book list leave. Least crime nature some room.,2026-01-10
2497.45,5,0.27,1981.33,Deportes,Efectivo,"{'nombre': 'Gregory Stewart', 'edad': 29, 'ciudad': 'CDMX'}","{'nombre': 'fine', 'marca': 'Newton-Hall', 'stock': 73}",Citizen leg not. Ahead collection middle will success detail.,Writer single good treat knowledge early idea news. Computer threat speak door much officer use.,2025-06-24
4396.63,4,0.09,2063.37,Electrónica,PayPal,"{'nombre': 'Sarah Evans', 'edad': 40, 'ciudad': 'Guadalajara'}","{'nombre': 'understand', 'marca': 'Robbins-Huang', 'stock': 44}",Seem laugh section stop. Herself exist follow fight mission note involve.,"According card guess.
Few data notice main wish example reduce. Picture them have.",2026-03-21
1869.01,6,0.23,7406.26,Electrónica,Tarjeta,"{'nombre': 'Christopher Graves', 'edad': 36, 'ciudad': 'CDMX'}","{'nombre': 'street', 'marca': 'Cook, Holden and Jackson', 'stock': 62}",Design religious fact likely by. Audience between heavy according TV very another.,Hair watch executive industry. Kind month player have not look way.,2025-06-24
3607.49,5,0.04,1209.04,Deportes,PayPal,"{'nombre': 'Natasha Pace', 'edad': 26, 'ciudad': 'Monterrey'}","{'nombre': 'evening', 'marca': 'Turner PLC', 'stock': 12}",Every national include recent course. Guy policy poor far worry worker. Easy question firm ball.,Prove task today be. Accept life her lead. Exist almost decide manager.,2025-11-07
3649.06,3,0.06,8161.22,Hogar,Transferencia,"{'nombre': 'Robert Sanders', 'edad': 50, 'ciudad': 'CDMX'}","{'nombre': 'system', 'marca': 'Parker Ltd', 'stock': 32}",President example low each. Result popular morning reduce. Executive certain system develop writer.,Happen success spend standard many total get. Letter kind team.,2026-02-14
4183.29,8,0.13,2263.26,Ropa,PayPal,"{'nombre': 'Shannon Sims', 'edad': 57, 'ciudad': 'Monterrey'}","{'nombre': 'leave', 'marca': 'Gomez, Cain and Fritz', 'stock': 34}",Do traditional people research cultural front. Tell shoulder man dark remember leader prove.,Certainly cultural take state citizen television. Investment art standard mind mention recognize outside.,2025-04-19
